,Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
202,CHEMBL1644646,,,528.61,1.0,4.24,42,COC(=O)N1CCC(n2nc(-c3ccnc(NC4CCOCC4)c3)n(-c3ccc4ccccc4c3)c2=O)CC1,IC50,'=',360.0,nM,6.44,,,UO_0000065,12.19,0.23,2.2,6.23,0,CHEMBL1648827,Inhibition of recombinant JNK1 after 60 mins by TR-FRET assay,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1641539,1,Scientific Literature,Bioorg Med Chem Lett,2011.0,,,,
203,CHEMBL245925,,,398.9,0.0,3.68,10,CCNC(=O)N1CCC(Nc2ncc(Cl)c(-n3ccc4ccccc43)n2)CC1,IC50,'=',457.0,nM,6.34,,,UO_0000065,15.89,0.31,2.66,8.44,0,CHEMBL886370,Inhibition of JNK1,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139954,1,Scientific Literature,Bioorg Med Chem Lett,2007.0,,,,
204,CHEMBL199136,,,362.82,0.0,4.73,4f,NC(=O)c1cccc(-c2[nH]nc3cc(Nc4ccccc4Cl)ccc23)c1,IC50,'=',81.0,nM,7.09,,,UO_0000065,19.55,0.37,2.36,8.46,0,CHEMBL881400,Inhibitory concentration against c-Jun N-terminal kinase 1,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1143651,1,Scientific Literature,Bioorg Med Chem Lett,2005.0,,,,
205,CHEMBL274389,,,431.52,0.0,1.3,17r,CC(C)[C@@H](CO)Nc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,IC50,'=',1500.0,nM,5.82,,,UO_0000065,,,,,0,CHEMBL853925,Inhibition of JNK1 by ATF2 phosphorylation assay,F,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139733,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
206,CHEMBL434560,,,403.46,0.0,0.66,17j,CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(NCCCO)n2)cc1,IC50,'=',54.0,nM,7.27,,,UO_0000065,,,,,0,CHEMBL853925,Inhibition of JNK1 by ATF2 phosphorylation assay,F,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139733,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
207,CHEMBL221315,,,416.46,0.0,0.16,17h,CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(NCCC(N)=O)n2)cc1,IC50,'=',66.0,nM,7.18,,,UO_0000065,,,,,0,CHEMBL853925,Inhibition of JNK1 by ATF2 phosphorylation assay,F,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139733,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
208,CHEMBL220658,,,385.45,0.0,1.44,17b,CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(NC3CC3)n2)cc1,IC50,'=',32.0,nM,7.5,,,UO_0000065,,,,,0,CHEMBL853925,Inhibition of JNK1 by ATF2 phosphorylation assay,F,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139733,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
209,CHEMBL374269,,,400.46,0.0,1.66,16b,CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(OCC3CC3)n2)cc1,IC50,'=',23.0,nM,7.64,,,UO_0000065,,,,,0,CHEMBL853925,Inhibition of JNK1 by ATF2 phosphorylation assay,F,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139733,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
210,CHEMBL374193,,,484.56,0.0,1.94,15d,CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(-c3cccc(S(C)(=O)=O)c3)n2)cc1,IC50,'=',43.0,nM,7.37,,,UO_0000065,,,,,0,CHEMBL853925,Inhibition of JNK1 by ATF2 phosphorylation assay,F,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139733,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
211,CHEMBL220864,,,431.56,0.0,3.46,8c,CCOc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1/C=C/C(C)(C)C,IC50,'=',2930.0,nM,5.53,,,UO_0000065,,,,,0,CHEMBL853925,Inhibition of JNK1 by ATF2 phosphorylation assay,F,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1139733,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
212,CHEMBL207773,,,335.75,0.0,2.11,7q,CCOC(=O)Cn1nc(C)c2c(=O)c3cc(Cl)ccc3n(O)c21,IC50,'=',7640.0,nM,5.12,,,UO_0000065,15.24,0.3,3.01,5.93,0,CHEMBL866909,Inhibition of JNK1,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1147685,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
213,CHEMBL436941,,,348.79,0.0,1.85,7l,CNC(=O)CCCc1nn(C)c2c1c(=O)c1cc(Cl)ccc1n2O,IC50,'=',750.0,nM,6.12,,,UO_0000065,17.56,0.35,4.27,6.87,0,CHEMBL866909,Inhibition of JNK1,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1147685,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
214,CHEMBL4799926,,,447.97,0.0,3.67,11,[2H]C([2H])([2H])N1CC[C@@H](NC(=O)c2cc(-n3cc(NC(=O)Nc4ccccc4Cl)cn3)cs2)C1,IC50,'=',5100.0,nM,5.29,,,UO_0000065,11.89,0.24,1.62,5.8,0,CHEMBL4724649,Inhibition of JNK1 (unknown origin) using ATF2 as substrate after 22 mins in presence of ATP by HTRF assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4715902,1,Scientific Literature,ACS Med Chem Lett,2021.0,,TIME = 0.3667 hr,INHIBITOR,
215,CHEMBL4798047,,,458.98,0.0,4.06,23,CN1CCC[C@H]1CNC(=O)c1cc(-n2cc(NC(=O)Nc3ccccc3Cl)cn2)cs1,IC50,'=',9100.0,nM,5.04,,,UO_0000065,10.98,0.22,0.98,5.52,0,CHEMBL4724649,Inhibition of JNK1 (unknown origin) using ATF2 as substrate after 22 mins in presence of ATP by HTRF assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4715902,1,Scientific Literature,ACS Med Chem Lett,2021.0,,TIME = 0.3667 hr,INHIBITOR,
216,CHEMBL4762965,,,445.93,0.0,4.14,15,O=C(Nc1cnn(-c2csc(C(=O)NC3CCOCC3)c2)c1)Nc1ccccc1Cl,IC50,'=',1900.0,nM,5.72,,,UO_0000065,12.83,0.26,1.58,5.88,0,CHEMBL4724649,Inhibition of JNK1 (unknown origin) using ATF2 as substrate after 22 mins in presence of ATP by HTRF assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4715902,1,Scientific Literature,ACS Med Chem Lett,2021.0,,TIME = 0.3667 hr,INHIBITOR,
217,CHEMBL1946330,,,340.41,0.0,4.26,9,CCNc1ncc2nc(Nc3ccccc3F)n(C3CCCC3)c2n1,IC50,'=',1800.0,nM,5.75,,,UO_0000065,16.88,0.31,1.48,8.49,0,CHEMBL1947746,Inhibition of full length Hexa-His-tagged JNK1 using GST-tagged cJun and [gamma33P]ATP as substrate after 60 mins by scintillation counting,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1944604,1,Scientific Literature,Bioorg Med Chem Lett,2012.0,,,,
218,CHEMBL1946334,,,409.51,0.0,4.51,13,N[C@H]1CC[C@H](Nc2ncc3nc(Nc4ccccc4F)n(C4CCCC4)c3n2)CC1,IC50,'=',230.0,nM,6.64,,,UO_0000065,16.21,0.3,2.13,7.09,0,CHEMBL1947746,Inhibition of full length Hexa-His-tagged JNK1 using GST-tagged cJun and [gamma33P]ATP as substrate after 60 mins by scintillation counting,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1944604,1,Scientific Literature,Bioorg Med Chem Lett,2012.0,,,,
220,CHEMBL1946646,,,427.5,0.0,4.65,22,N[C@H]1CC[C@H](Nc2ncc3nc(Nc4c(F)cccc4F)n(C4CCCC4)c3n2)CC1,IC50,'=',91.0,nM,7.04,,,UO_0000065,16.47,0.31,2.39,7.52,0,CHEMBL1947746,Inhibition of full length Hexa-His-tagged JNK1 using GST-tagged cJun and [gamma33P]ATP as substrate after 60 mins by scintillation counting,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1944604,1,Scientific Literature,Bioorg Med Chem Lett,2012.0,,,,
223,CHEMBL599519,,,289.37,0.0,2.49,BI-90G12,CCNc1nnc(Sc2ncc([N+](=O)[O-])s2)s1,IC50,'=',100000.0,nM,4.0,,,UO_0000065,13.82,0.32,1.51,4.26,0,CHEMBL1070200,Inhibition of JNK1 by TR-FRET assay,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1159095,1,Scientific Literature,Bioorg Med Chem,2010.0,,,,
225,CHEMBL2376914,,,521.6,2.0,6.31,5f,Cc1cc(NC(=O)c2cccc(-n3ncc4cc(Nc5ccccc5F)ccc43)c2)ccc1N1CCOCC1,IC50,'=',170.0,nM,6.77,,,UO_0000065,12.98,0.24,0.46,9.48,0,CHEMBL2379719,Inhibition of JNK1 (unknown origin)-mediated ATF2 Thr71 phosphorylation by HTRF assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2375283,1,Scientific Literature,Bioorg Med Chem Lett,2013.0,,,,
230,CHEMBL120185,,,472.57,0.0,4.12,59,CN1CCN(c2ccc3c(n2)nc(-c2ccc(F)cc2)n3-c2ccnc(NC3CCCC3)n2)CC1,IC50,'=',1500.0,nM,5.82,,,UO_0000065,12.32,0.23,1.7,7.77,0,CHEMBL818504,Inhibition of human c-Jun N-terminal kinase 1,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1147483,1,Scientific Literature,Bioorg Med Chem Lett,2004.0,,,,
231,CHEMBL4876387,,,444.92,0.0,5.0,12,COCCNC(=O)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,IC50,'=',169.0,nM,6.77,,,UO_0000065,15.22,0.31,1.77,9.93,0,CHEMBL4840118,Inhibition of JNK1 (unknown origin) using biotinylated FL-ATF-2 as substrate measured after 22 mins by homogeneous time-resolved fluorescence analysis,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4837263,1,Scientific Literature,ACS Med Chem Lett,2021.0,,TIME = 0.3667 hr,INHIBITOR,
232,CHEMBL4848449,,,363.46,0.0,1.66,19,CO[C@H]1CC[C@H](Nc2ncc(C(N)=O)c(N[C@@H]3CCCC[C@H]3O)n2)CC1,IC50,'=',37.0,nM,7.43,,,UO_0000065,20.45,0.39,5.77,6.07,0,CHEMBL4842273,Inhibition of JNK1 (unknown origin) assessed as reduction in phosphorylated ULight-labeled 4EBP1 peptide measured after 1 hr by time-resolved fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4840378,1,Scientific Literature,J Med Chem,2021.0,,TIME = 1.0 hr,INHIBITOR,
235,CHEMBL375795,,,413.5,0.0,2.22,9h,CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(NC3CCCC3)n2)cc1,IC50,'=',96.0,nM,7.02,,,UO_0000065,16.97,0.33,4.8,5.09,1,CHEMBL902320,Inhibition of JNK1,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1138387,1,Scientific Literature,Bioorg Med Chem Lett,2007.0,,,,
236,CHEMBL4866929,,,383.44,0.0,2.93,25,CO[C@H]1CC[C@H](Nc2ncc(C(N)=O)c(N[C@@H]3CCCC(F)(F)C3)n2)CC1,IC50,'=',19.0,nM,7.72,,,UO_0000065,20.14,0.39,4.79,7.56,0,CHEMBL4842273,Inhibition of JNK1 (unknown origin) assessed as reduction in phosphorylated ULight-labeled 4EBP1 peptide measured after 1 hr by time-resolved fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4840378,1,Scientific Literature,J Med Chem,2021.0,,TIME = 1.0 hr,INHIBITOR,
238,CHEMBL377747,,,364.79,0.0,2.07,7o,CCOC(=O)NCCc1nn(C)c2c1c(=O)c1cc(Cl)ccc1n2O,IC50,'=',430.0,nM,6.37,,,UO_0000065,17.45,0.35,4.3,6.47,0,CHEMBL866909,Inhibition of JNK1,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1147685,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
239,CHEMBL382895,,,291.74,0.0,2.73,7b,CCCc1nn(C)c2c1c(=O)c1cc(Cl)ccc1n2O,IC50,'=',1310.0,nM,5.88,,,UO_0000065,20.16,0.4,3.15,9.8,0,CHEMBL866909,Inhibition of JNK1,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1147685,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
240,CHEMBL207536,,,318.72,0.0,0.85,16,Cn1c2[n+]([O-])c3ccc(Cl)cc3c(=O)c-2c2n1C(=O)NCC2,IC50,'=',290.0,nM,6.54,,,UO_0000065,20.51,0.41,5.69,7.88,0,CHEMBL866909,Inhibition of JNK1,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1147685,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
242,CHEMBL244581,,,356.39,0.0,4.82,11a,O=C(O)c1cc2ccccc2cc1Nc1ccnc(Nc2ccccc2)n1,IC50,'=',705.0,nM,6.15,,,UO_0000065,17.26,0.31,1.33,7.06,0,CHEMBL905885,Inhibition at human JNK1 at 1uM,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1143787,1,Scientific Literature,Bioorg Med Chem Lett,2007.0,,,,
243,CHEMBL210307,,,264.24,0.0,0.35,19b,CC(=O)Nc1cc(N)c(C#N)c(OCCC(=O)O)n1,IC50,'=',4800.0,nM,5.32,,,UO_0000065,20.13,0.38,4.97,3.84,0,CHEMBL860181,Inhibition of JNK1-mediated ATF2 phosphorylation,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1148638,1,Scientific Literature,J Med Chem,2006.0,,,,
245,CHEMBL210655,,,326.36,0.0,2.12,6l,CCOc1nc(NC(=O)Cc2ccccc2OC)cc(N)c1C#N,IC50,'=',120.0,nM,6.92,,,UO_0000065,21.21,0.39,4.8,6.28,0,CHEMBL860181,Inhibition of JNK1-mediated ATF2 phosphorylation,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1148638,1,Scientific Literature,J Med Chem,2006.0,,,,
246,CHEMBL210462,,,372.38,0.0,1.1,20a,COc1ccc(OC)c(CC(=O)Nc2cc(N)c(C#N)c(OCCO)n2)c1,IC50,'=',74.0,nM,7.13,,,UO_0000065,19.15,0.36,6.03,5.1,0,CHEMBL860181,Inhibition of JNK1-mediated ATF2 phosphorylation,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1148638,1,Scientific Literature,J Med Chem,2006.0,,,,
247,CHEMBL211605,,,220.23,0.0,0.29,8a,CCOc1nc(C(=O)NC)cc(N)c1C#N,IC50,'=',1200.0,nM,5.92,,,UO_0000065,26.88,0.51,5.63,5.86,0,CHEMBL866012,Inhibition of JNK1,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1138045,1,Scientific Literature,J Med Chem,2006.0,,,,
248,CHEMBL1767256,,,294.76,0.0,2.68,"27, BI-98G3",NC(=O)c1ccsc1NC(=O)Cc1cccc(Cl)c1,IC50,'=',2600.0,nM,5.58,,,UO_0000065,18.95,0.4,2.91,7.74,0,CHEMBL1768207,Inhibition of JNK1 by TR-FRET assay,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1764959,1,Scientific Literature,Bioorg Med Chem,2011.0,,,,
249,CHEMBL1767238,,,246.29,0.0,2.1,"8, BI-98H9",NC(=O)c1ccsc1NC(=O)c1ccccc1,IC50,'=',5900.0,nM,5.23,,,UO_0000065,21.23,0.42,3.13,7.24,0,CHEMBL1768207,Inhibition of JNK1 by TR-FRET assay,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1764959,1,Scientific Literature,Bioorg Med Chem,2011.0,,,,
250,CHEMBL1767268,,,274.35,0.0,2.34,"40, BI-101E8",Cc1ccccc1CC(=O)Nc1sccc1C(N)=O,IC50,'=',6000.0,nM,5.22,,,UO_0000065,19.03,0.38,2.88,7.23,0,CHEMBL1768207,Inhibition of JNK1 by TR-FRET assay,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1764959,1,Scientific Literature,Bioorg Med Chem,2011.0,,,,
253,CHEMBL1767298,,,388.5,0.0,3.47,"72, BI-101D8",NC(=O)c1ccsc1NC(=O)Cc1csc2nc(-c3cccs3)cn12,IC50,'=',2500.0,nM,5.6,,,UO_0000065,14.42,0.31,2.13,6.26,0,CHEMBL1768207,Inhibition of JNK1 by TR-FRET assay,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1764959,1,Scientific Literature,Bioorg Med Chem,2011.0,,,,
254,CHEMBL1767300,,,320.4,0.0,2.05,"74, BI-101F5",Cc1cnc2sc(CC(=O)Nc3sccc3C(N)=O)cn12,IC50,'=',2500.0,nM,5.6,,,UO_0000065,17.48,0.36,3.55,6.26,0,CHEMBL1768207,Inhibition of JNK1 by TR-FRET assay,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1764959,1,Scientific Literature,Bioorg Med Chem,2011.0,,,,
257,CHEMBL1761554,,,453.51,0.0,3.19,3,Cn1cc(-c2ccc3cnc(Nc4ccc(-n5cnc(N6CCOCC6)n5)cc4)nc3c2)cn1,IC50,'=',50.0,nM,7.3,,,UO_0000065,16.1,0.29,4.11,7.39,0,CHEMBL1763332,Inhibition of JNK1 by HRTF,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1759990,1,Scientific Literature,Bioorg Med Chem Lett,2011.0,,,,
260,CHEMBL188979,,,384.27,1.0,6.27,12,Clc1ccc(Cl)c(CNc2[nH]nc3cccc(Oc4ccccc4)c23)c1,IC50,'=',794.33,nM,6.1,,,UO_0000065,15.87,0.32,-0.17,12.21,0,CHEMBL831665,Negative log of inhibitory concentration determined against c-Jun N-terminal kinase (Activity reported against the isolated JNK-1 enzyme),B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140363,1,Scientific Literature,Bioorg Med Chem Lett,2005.0,,,,
261,CHEMBL1288930,,,275.33,0.0,2.72,9,COC(=O)c1sccc1NC(=O)Cc1ccccc1,IC50,'=',700.0,nM,6.16,,,UO_0000065,22.35,0.44,3.43,11.11,0,CHEMBL1291185,Inhibition of recombinant JNK1 after 60 mins by TR-FRET assay,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1287787,1,Scientific Literature,Bioorg Med Chem Lett,2010.0,,,,
262,CHEMBL1287945,,,347.44,0.0,4.48,43,Cn1ccc(-c2sccc2NC(=O)Cc2cccc3ccccc23)n1,IC50,'=',24100.0,nM,4.62,,,UO_0000065,13.29,0.25,0.14,9.84,0,CHEMBL1291185,Inhibition of recombinant JNK1 after 60 mins by TR-FRET assay,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1287787,1,Scientific Literature,Bioorg Med Chem Lett,2010.0,,,,
263,CHEMBL191384,,,372.46,0.0,3.94,3,N#C/C(=C1/Nc2ccccc2S1)c1ccnc(NCCc2cccnc2)n1,IC50,'=',150.0,nM,6.82,,,UO_0000065,18.32,0.35,2.88,7.89,1,CHEMBL1116944,Inhibition of JNK1,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1156270,1,Scientific Literature,J Med Chem,2010.0,,,,
264,CHEMBL1950300,,,521.59,1.0,3.47,13,CS(=O)(=O)N[C@H]1CC[C@H](Nc2ncc3nc(Nc4ccc(F)cc4F)n(C4CCOCC4)c3n2)CC1,IC50,'=',880.0,nM,6.06,,,UO_0000065,11.61,0.23,2.59,4.92,0,CHEMBL1952891,Inhibition of hexa-His-tagged JNK1 expressed in baculoviral system using GST-tagged c-Jun as substrate preincubated for 15 mins prior ATP addition measured after 60 mins by scintillation counting,B,BAO_0000019,assay format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1949521,1,Scientific Literature,Bioorg Med Chem Lett,2012.0,,,,
265,CHEMBL190747,,,364.4,0.0,3.82,8,COc1ccc(OC)c(CNC(=O)c2cccnc2Oc2ccccc2)c1,IC50,'=',100.0,nM,7.0,,,UO_0000065,19.21,0.35,3.18,10.05,0,CHEMBL831665,Negative log of inhibitory concentration determined against c-Jun N-terminal kinase (Activity reported against the isolated JNK-1 enzyme),B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140363,1,Scientific Literature,Bioorg Med Chem Lett,2005.0,,,,
266,CHEMBL379835,,,325.76,0.0,3.54,7u,Cc1nn(-c2ccccc2)c2c1c(=O)c1cc(Cl)ccc1n2O,IC50,'=',1750.0,nM,5.76,,,UO_0000065,17.67,0.34,2.22,9.59,0,CHEMBL866909,Inhibition of JNK1,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1147685,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
267,CHEMBL444885,,,277.71,0.0,2.57,7t,CCn1nc(C)c2c(=O)c3cc(Cl)ccc3n(O)c21,IC50,'=',4190.0,nM,5.38,,,UO_0000065,19.36,0.39,2.81,8.96,0,CHEMBL866909,Inhibition of JNK1,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1147685,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
268,CHEMBL207861,,,307.69,0.0,1.63,7p,Cc1nn(CC(=O)O)c2c1c(=O)c1cc(Cl)ccc1n2O,IC50,'=',4410.0,nM,5.36,,,UO_0000065,17.41,0.35,3.73,5.5,0,CHEMBL866909,Inhibition of JNK1,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1147685,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,
269,CHEMBL437747,,,513.52,2.0,6.94,10,CCCn1c(C2CCNCC2)nc(-c2ccc(Cl)c(Cl)c2)c1-c1ccnc(NC2CCCCC2)n1,IC50,'=',2.0,nM,8.7,,,UO_0000065,16.94,0.34,1.76,12.86,0,CHEMBL902320,Inhibition of JNK1,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL2276,c-Jun N-terminal kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1138387,1,Scientific Literature,Bioorg Med Chem Lett,2007.0,,,,
